@relation Malaria progression
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute 'feature38' real
@attribute 'feature39' real
@attribute 'feature40' real
@attribute 'feature41' real
@attribute 'feature42' real
@attribute 'feature43' real
@attribute 'feature44' real
@attribute 'feature45' real
@attribute 'feature46' real
@attribute 'feature47' real
@attribute 'feature48' real
@attribute 'feature49' real
@attribute 'feature50' real
@attribute 'feature51' real
@attribute class {1,2,3,4,5}
@data 
1937.06,0.244887,0.0493622,0.145098,0.384314,60.3255,0.15588,0.00443947,0.145098,0.168627,98.9709,7910,0.952983,0.977992,0.725422,1,428.836,0.537999,183.118,55.4893,86.5183,0.0698097,0.666621,0.863231,2.43943,0.718963,8.07446,9.08144,2.45314,2.92273,0.330802,0.841635,-0.411301,0.88312,0.186905,0.0200598,0.053363,1.3494,0.714046,2.36577,0.601549,8.27223,8.08825,2.43784,3.16616,0.559104,1.09368,-0.26252,0.784972,0.427179,0.0883765,4
4218.44,0.399474,0.171424,0.145098,0.898039,60.3804,0.154426,0.00540908,0.145098,0.176471,52.0048,10560,0.934948,0.984157,0.498019,1,471.772,0.593705,196.006,69.54,-34.0608,0.0829152,0.4149,0.93497,3.19166,0.819287,6.65518,12.3453,2.47155,2.79383,0.27775,0.729204,-0.522203,0.927993,0.471012,0.370014,0.0599827,0.819316,0.869815,3.15399,0.723068,6.76298,11.7672,2.5109,3.08744,0.461726,0.960551,-0.370683,0.868708,3.19985,0.56795,4
2528.06,0.338021,0.11866,0.145098,0.686275,57.5608,0.15557,0.0050163,0.145098,0.168627,56.027,7479,0.958427,0.981883,0.518727,1,430.475,0.504826,183.327,52.3102,-20.7183,0.0879172,0.334531,0.943868,2.97987,0.843185,6.91153,11.5849,2.44533,2.69675,0.23397,0.657468,-0.561554,0.937136,0.163074,0.12643,0.0645247,0.623834,0.893036,2.92141,0.753732,7.01852,11.0402,2.4991,2.9617,0.359207,0.851421,-0.421259,0.891165,0.313277,1.08043,4
1771.39,0.342297,0.137401,0.145098,0.619608,41.2157,0.154946,0.00521406,0.145098,0.172549,46.6826,5175,0.900489,0.975679,0.570437,1,314.049,0.655186,123.419,53.6723,55.457,0.057061,0.724323,0.929016,5.1077,0.721161,8.06551,19.6835,2.62812,3.12012,0.38157,0.896443,-0.453936,0.916528,0.277863,0.317106,0.0398024,1.65591,0.834141,5.04239,0.589628,8.31464,18.301,2.65957,3.43626,0.734428,1.20229,-0.304447,0.842374,0.740226,1.74032,4
3061.94,0.377179,0.16147,0.141176,0.984314,53.6588,0.161138,0.00766179,0.141176,0.180392,56.1241,8118,0.882238,0.970704,0.578617,1,390.576,0.665315,149.146,70.2185,42.5274,0.158256,0.34607,0.925915,2.33663,0.841323,5.64184,8.99638,2.16615,2.42317,0.242295,0.669905,-0.503748,0.896947,0.270085,0.284145,0.129664,0.639268,0.863144,2.34161,0.760368,5.72849,8.70237,2.20135,2.6475,0.383334,0.868348,-0.363929,0.832347,2.41353,0.540236,4
3436.28,0.534331,0.250048,0.145098,0.992157,51.8902,0.158686,0.00784718,0.145098,0.184314,49.2261,6431,0.936559,0.97944,0.687073,1,368.836,0.590842,153.228,53.7078,-80.3896,0.046593,1.05903,0.895954,5.08975,0.642143,8.89468,19.298,2.65208,3.25818,0.461605,0.997321,-0.412897,0.903577,0.439054,0.23806,0.0355445,2.59441,0.732313,4.8553,0.487049,9.22155,16.7893,2.6345,3.53761,0.937965,1.33157,-0.275724,0.823056,1.69292,0.722714,4
2791.7,0.369175,0.142953,0.145098,0.992157,54.5176,0.158022,0.00736044,0.145098,0.180392,70.2982,7562,0.926608,0.980423,0.698633,1,390.978,0.618477,161.78,60.8339,-84.1976,0.0940379,0.550919,0.845391,1.78076,0.768331,5.51471,6.57567,2.24788,2.65688,0.322498,0.811565,-0.375492,0.840974,0.78702,0.235678,0.0696134,1.12635,0.675687,1.7144,0.640004,5.66558,5.81713,2.21077,2.93387,0.506457,1.02904,-0.202221,0.695995,1.70326,2.58169,4
2981.6,0.391542,0.175377,0.141176,0.996078,56.3961,0.160216,0.00784764,0.141176,0.180392,69.935,7615,0.932718,0.983596,0.660795,1,402.534,0.587651,164.646,59.3721,78.717,0.105324,0.596704,0.886036,2.61752,0.77687,5.98789,9.87505,2.31387,2.76044,0.374548,0.851737,-0.410258,0.871472,0.498968,0.302482,0.0842203,1.25,0.760836,2.59311,0.679305,6.14343,9.20101,2.2899,3.03455,0.70162,1.11311,-0.257911,0.770972,2.35625,3.76171,4
3377.51,0.416411,0.174176,0.141176,1,57.1765,0.158824,0.00777181,0.141176,0.184314,60.3199,8111,0.931996,0.982794,0.582185,1,419.647,0.576035,169.868,61.5716,67.3321,0.0787798,0.507241,0.900498,2.54821,0.785558,6.42694,9.68832,2.41474,2.79529,0.311927,0.790593,-0.455923,0.89895,0.488476,0.525484,0.0619602,1.00758,0.797167,2.44934,0.668657,6.60455,8.92108,2.40501,3.02067,0.489499,0.991088,-0.33053,0.835933,4.42648,1.72759,4
2150.32,0.345822,0.145187,0.145098,0.984314,51.8196,0.158956,0.00702566,0.145098,0.180392,58.7072,6218,0.946487,0.981067,0.570354,1,377.362,0.545814,157.619,50.8703,-20.1272,0.181713,0.286475,0.925493,1.92246,0.870138,4.97621,7.40336,2.02599,2.22851,0.216682,0.611347,-0.555687,0.905539,0.516872,0.668154,0.147461,0.524093,0.863166,1.91472,0.797208,5.04546,7.13619,2.10938,2.44245,0.343182,0.805929,-0.416802,0.850688,4.80862,4.86505,4
2188.4,0.410198,0.193521,0.141176,0.988235,45.902,0.159382,0.0082434,0.141176,0.184314,35.2886,5335,0.948106,0.962823,0.41511,1,355.103,0.528681,147.266,46.8236,-48.2033,0.0780443,0.574126,0.909444,3.16793,0.757051,6.41061,12.1058,2.46065,2.87544,0.323523,0.816382,-0.443027,0.897421,0.482439,0.593247,0.0595405,1.20443,0.808293,3.12384,0.630786,6.5943,11.3593,2.4433,3.17505,0.539552,1.05946,-0.285882,0.808557,1.52254,1.09543,4
2538.62,0.302433,0.12008,0.145098,0.996078,55.6157,0.158449,0.00584884,0.145098,0.172549,82.6761,8394,0.908613,0.980722,0.685616,1,399.463,0.65774,161.31,67.3694,-12.7973,0.235471,0.283474,0.89546,1.35581,0.881196,3.95859,5.13978,1.77103,1.9705,0.223325,0.598641,-0.538076,0.874959,0.398659,0.524525,0.200829,0.55138,0.797746,1.36309,0.819594,3.99625,4.90097,1.83799,2.17642,0.397865,0.800083,-0.397541,0.812623,0.197049,4.1816,3
2148.93,0.484102,0.19918,0.145098,0.984314,42.7294,0.158845,0.00876641,0.145098,0.180392,48.4747,4439,0.929997,0.979479,0.685348,1,303.38,0.602093,126.328,46.434,-81.5719,0.0488064,1.18827,0.810307,3.14188,0.639182,8.01971,11.3397,2.53412,3.2383,0.549216,1.07291,-0.324536,0.845501,1.73948,0.0273888,0.038902,2.60226,0.574103,3.07552,0.509385,8.27839,9.61729,2.48908,3.47821,1.05157,1.38088,-0.185003,0.712791,1.86574,1.5703,3
3558.87,0.465942,0.168537,0.145098,0.992157,49.2196,0.159287,0.00863965,0.145098,0.184314,43.3286,7638,0.86504,0.987715,0.615968,1,364.919,0.716836,140.742,70.6106,36.6635,0.111333,0.37471,0.918965,2.31143,0.822128,7.26502,8.87335,2.354,2.62695,0.245898,0.685858,-0.523845,0.919251,0.256058,0.533337,0.0873904,0.710405,0.841594,2.21502,0.729324,7.38258,8.25414,2.38923,2.87068,0.386042,0.897887,-0.374705,0.856733,0.525498,0.195152,3
1975.22,0.321384,0.127754,0.141176,0.992157,50.3922,0.158966,0.00654731,0.141176,0.176471,70.1106,6146,0.93191,0.982888,0.665152,1,361.321,0.588323,149.065,54.0643,11.9909,0.204525,0.238686,0.918064,1.45655,0.894737,4.50888,5.5875,1.8735,2.04146,0.192366,0.550233,-0.577696,0.899749,0.105298,0.604776,0.173171,0.442696,0.847796,1.45348,0.841368,4.55936,5.37443,1.95,2.23261,0.328446,0.733487,-0.447264,0.85074,0.685504,0.969024,3
5241.62,0.555845,0.204242,0.141176,0.847059,55.2706,0.159281,0.00873849,0.141176,0.180392,50.0192,9430,0.867619,0.987228,0.681703,1,405.404,0.717473,156.774,77.9526,14.5964,0.0779033,0.432388,0.956939,5.02194,0.806576,10.6692,19.6504,2.56488,2.87988,0.276807,0.736928,-0.552721,0.942956,0.230136,0.743733,0.061832,0.86886,0.910068,4.85968,0.706535,10.8142,18.4487,2.5875,3.12937,0.467007,0.97631,-0.418694,0.899712,0.415149,0.57637,3
2889.18,0.350459,0.164846,0.145098,0.94902,51.9294,0.155013,0.00499319,0.145098,0.172549,50.8841,8244,0.927091,0.973203,0.495403,1,408.316,0.618345,168.65,63.2162,-43.3617,0.141651,0.278987,0.946833,2.62371,0.865394,5.31246,10.2158,2.20446,2.40858,0.205632,0.601092,-0.570192,0.923875,0.200634,0.48373,0.106475,0.509278,0.902787,2.62191,0.77726,5.42256,9.96818,2.28348,2.65908,0.301239,0.779187,-0.429438,0.875514,0.944407,0.557807,3
3431.27,0.362828,0.162637,0.145098,0.956863,56.6902,0.156171,0.0052009,0.145098,0.168627,81.9172,9457,0.904187,0.987058,0.749604,1,411.463,0.698543,168.024,71.7695,8.73652,0.152131,0.27977,0.944785,2.53344,0.875848,5.42161,9.854,2.1671,2.3733,0.215483,0.602607,-0.606282,0.93443,0.289386,0.641277,0.12418,0.543131,0.892493,2.52603,0.805757,5.4789,9.561,2.25045,2.61315,0.371541,0.815905,-0.469448,0.893705,0.487168,0.588211,3
3636.97,0.395796,0.198237,0.145098,0.996078,54.9098,0.152952,0.0035356,0.145098,0.164706,76.0379,9189,0.90141,0.985099,0.688934,1,417.404,0.659608,165.903,71.8307,-10.8262,0.145321,0.216512,0.96743,3.32383,0.894693,5.89141,13.0788,2.23613,2.39188,0.171739,0.526178,-0.6637,0.952404,0.316133,0.534984,0.119269,0.378538,0.942898,3.31458,0.833102,5.95953,12.8798,2.33329,2.609,0.262085,0.700193,-0.551591,0.928931,0.791846,1.91466,3
5167.32,0.399793,0.136765,0.145098,0.878431,64.6314,0.156114,0.00494963,0.145098,0.168627,82.2889,12925,0.883014,0.988679,0.731383,1,474.475,0.71843,188.03,88.2513,-7.50809,0.119235,0.315748,0.927655,2.18281,0.856078,6.69351,8.41314,2.29452,2.54118,0.230195,0.641917,-0.547786,0.923568,0.137459,0.425922,0.0951406,0.570924,0.866817,2.14292,0.78295,6.75684,8.00261,2.34863,2.78145,0.362284,0.831573,-0.405545,0.870088,1.16918,1.3145,3
